ปี,ข้อที่,ประเภท,หมวดหมู่,โจทย์,ตัวเลือก ก,ตัวเลือก ข,ตัวเลือก ค,ตัวเลือก ง,เฉลย,คำอธิบาย
ปี 2560,1,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,หลอดรังสีแคโทดที่เจาะรูตรงกลางขั้วแคโทดและแอโนด หลังขั้วแคโทดและแอโนดมีฉากเรืองแสง ก และ ข ตามล าดับ ภายในหลอดบรรจุแก๊ส 1 ชนิด และมีความดันต ่า เมื่อผ่านกระแสไฟฟ้า เข้าไปในหลอด จะเกิดจุดบนฉากเรืองแสงหลังขั้วทั้งสอง ดังรูป ข้อความใดถูกต้อง,อนุภาค X มีอ านาจในการทะลุทะลวงสูง สามารถทะลุผ่านแผ่นตะกั่วบาง ๆ ได้,อนุภาค X และ Y มีค่าประจุต่อมวล (e/m) คงที่ ไม่ขึ้นกับชนิดของแก๊สในหลอด,อนุภาค X และ Y เป็นไอออนบวกและไอออนลบของธาตุที่เป็นองค์ประกอบของแก๊ส ที่บรรจุในหลอด,แต่ละอนุภาค X ในหลอดที่บรรจุแก๊ส H2 มีมวลมากกว่ามวลของแต่ละอนุภาค Y ใน หลอดที่บรรจุแก๊ส He,ข,อนุภาค X คือรังสีแคนาล (ไอออนบวก) ค่า e/m ของอนุภาค X ขึ้นกับชนิดแก๊สในหลอด แต่ค่า e/m ของอิเล็กตรอน (Y) คงที่เสมอไม่ว่าจะใช้แก๊สชนิดใด ข้อ ง ผิดเพราะ H⁺ มีมวลน้อยกว่า He⁺ ไม่ใช่มากกว่า ข้อ ข ถูกเพราะ Y (อิเล็กตรอน) มีค่า e/m คงที่ไม่ขึ้นกับชนิดแก๊ส
ปี 2560,2,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ในปี ค.ศ. 2016 IUPAC ได้ประกาศเพิ่มธาตุ Ts (เทนเนสซีน) ซึ่งมีเลขอะตอมเท่ากับ 117 ข้อสันนิษฐานเกี่ยวกับธาตุ Ts ข้อใดไม่ถูกต้อง,มีสถานะเป็นของแข็ง,อยู่ในคาบที่ 7 หมู่ VIIA,มีเลขออกซิเดชันเพียงค่าเดียว คือ -1,การจัดอิเล็กตรอนในสถานะพื้น มีอิเล็กตรอนเดี่ยว 1 อิเล็กตรอน,ค,Ts อยู่หมู่ VIIA คาบ 7 เหมือน At ควรมีหลายเลขออกซิเดชัน ไม่ใช่แค่ -1
ปี 2560,3,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,เมื่อกระตุ้นอะตอมไฮโดรเจนด้วยรังสีเหนือม่วงความยาวคลื่น 97 nm จะเกิดเส้นสเปกตรัมจากการคายพลังงานได้จำนวนมากที่สุดกี่เส้น,3,4,5,6,ง,"97 nm ตรงกับ n=1 ไป n=4 เส้นสเปกตรัมที่เกิดได้ = C(4,2) = 6 เส้น"
ปี 2560,4,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ธาตุ A และ B เป็นไอโซโทปกัน A มีจ านวนนิวตรอนน้อยกว่า B 5 นิวตรอน เมื่อกลายเป็น B2 จะมีจ านวนอิเล็กตรอนและนิวตรอนเท่ากับ 10 และ 15 ตามล าดับ ข้อใดเป็นสัญลักษณ์นิวเคลียร์ของธาตุ A,A 18 8,A 22 12,A 25 10,A 25 15,ข,B²⁻ มีอิเล็กตรอน 10 ตัว → B มีเลขอะตอม 8 (ออกซิเจน) มีนิวตรอน 15 ตัว เลขมวล B = 23 A เป็นไอโซโทปของ B จึงมีเลขอะตอม 8 เท่ากัน แต่มีนิวตรอนน้อยกว่า 5 ตัว → นิวตรอน A = 10 เลขมวล A = 18 สัญลักษณ์คือ ¹⁸₈A
ปี 2560,5,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,"ธาตุ A(Z=12), E(Z=15) และ J(Z=33) สมบัติข้อใดถูกต้อง",ธาตุทั้งสามอยู่คนละหมู่กัน,จุดเดือดของ A < J < E,ความเป็นโลหะของ J < E < A,ไอออนของ A มีขนาดเล็กกว่าไอออนของ E,ค,"A=Mg(หมู่2), E=P(หมู่15), J=As(หมู่15) ความเป็นโลหะ: As<P<Mg ดังนั้น J<E<A ถูกต้อง"
ปี 2560,6,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,การจัดเรียงอิเล็กตรอนของโคบอลต์ไอออนในสารประกอบ Co2O3 ข้อใดถูกต้อง,[Ar] 4s2 3d7,[Ar] 4s2 3d4,1s2 2s2 2p6 3s2 3p6 3d6,1s2 2s2 2p6 3s2 3p3 3d10 4s1,ค,Co3+ (เสีย 3e-) มีการจัดเรียงอิเล็กตรอน [Ar]3d6 = 1s2 2s2 2p6 3s2 3p6 3d6
ปี 2560,7,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ข้อใดเป็นอะตอมหรือไอออนที่มีจ านวนอิเล็กตรอนเดี่ยวในสถานะพื้นเท่ากัน,Cr+ และ Mn2+,As และ Mn2+,Cu2+ และ Cr3+,As3+ และ Cu,ก,เส้นสเปกตรัมในช่วงแสงที่มองเห็นได้ (400–700 nm) ของ H คือชุด Balmer series ที่เกิดจากอิเล็กตรอนเปลี่ยนระดับพลังงานจาก n≥3 ลงสู่ n=2 จากรูป เส้นที่ 3 และ 4 อยู่ในช่วงความยาวคลื่นดังกล่าว ส่วนเส้นที่ 1-2 อยู่ใน UV และเส้น 5 ขึ้นไปอยู่ใน IR
ปี 2560,8,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ก าหนดให้ สารประกอบคลอไรด์ของธาตุ A มีสูตรเป็น ACl2 มีลักษณะเป็นของแข็งสีขาว ไม่น าไฟฟ้า ละลายน ้าได้สารละลายที่เป็นกลางและน าไฟฟ้าได้ สมบัติของธาตุ A ข้อใดถูกต้อง,A เป็นธาตุอโลหะ,A เป็นธาตุที่อยู่ในคาบที่ 2 ของตารางธาตุ,A เป็นธาตุที่อยู่หมู่เดียวกับธาตุที่มีเลขอะตอมเท่ากับ 26,ไอออน A2+ มีการจัดเรียงอิเล็กตรอนเหมือนแก๊สมีตระกูล,ง,ธาตุหมู่ IIA มีอิเล็กตรอนเวเลนซ์ 2 ตัว สังเกตได้จากพลังงานไอออไนเซชันที่กระโดดขึ้นอย่างมากระหว่าง IE₂ กับ IE₃ จากตารางในรูป ธาตุ S แสดงรูปแบบนี้ จึงอยู่ในหมู่ IIA
ปี 2560,9,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,พิจารณาสูตรเคมีของสารประกอบ ต่อไปนี้ [Co(NH3)4SO4]Cl HClO4 และ Na[Au(CN)2] เลขออกซิเดชันของธาตุที่ขีดเส้นใต้ในสารประกอบ ข้อใดถูกต้อง เลขออกซิเดชันของธาตุที่ขีดเส้นใต้ [Co(NH3)4SO4]Cl HClO4 Na[Au(CN)2],+2 +6 +3,+2 +7 +3,+6 +6 +1,+6 +7 +1,ค,"S อยู่หมู่ IIA, P อยู่หมู่ IIIA, R อยู่หมู่ VA, Q อยู่หมู่ VIA ในคาบเดียวกัน IE₁ เพิ่มตามเลขอะตอมแต่มีข้อยกเว้นที่ IIA→IIIA (ลดเล็กน้อย) และ VA→VIA (ลดเล็กน้อย) การเรียง IE₁ จากน้อยไปมากคือ S < P < R < Q"
ปี 2560,10,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,"พิจารณา การบรรจุอิเล็กตรอน แบบ A, B, C และ D ต่อไปนี้ ข้อความใดถูกต้อง",แบบ A เป็นของอะตอมที่มีค่าอิเล็กโทรเนกาติวิตีมากที่สุด,แบบ B เป็นการบรรจุอิเล็กตรอนที่ไม่เป็นไปตามกฎของฮุนด์,แบบ C เป็นการบรรจุอิเล็กตรอนที่ไม่เป็นไปตามหลักการกีดกันของเพาลี,แบบ D เป็นของอะตอมที่เสถียรและมีค่าพลังงานไอออไนเซชันล าดับที่ 1 มากที่สุด,ข,R อยู่หมู่ VA มีออร์บิทัล 2p ครึ่งเต็ม (half-filled) เสถียรกว่าปกติ แต่ในบรรดา P Q R S ธาตุ R ที่อยู่ทางขวาสุดในอโลหะมีขนาดอะตอมเล็กและ IE₁ สูง ทำให้มีอิเล็กโทรเนกาติวิตีสูงที่สุด ข้อ ข ถูกต้อง
ปี 2560,11,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,"ก าหนดให้ ธาตุ A, D, E และ G มีการจัดเรียงอิเล็กตรอนที่สถานะพื้น ดังนี้ A : [He] 2s2 2p4 D : [Ne] 3s2 3p3 E : [Ar] 3d10 4s2 4p1 G : [Ar] 3d10 4s2 4p3 การเปรียบเทียบขนาดอะตอมและพลังงานไอออไนเซชันล าดับที่ 1 ข้อใดถูกต้อง ขนาดอะตอม พลังงานไอออไนเซชันล าดับที่ 1",G > E > D A > D > E,D > G > A E > G > A,A > E > G D > G > A,E > G > A G > A > E,ก,Q อยู่หมู่ VIA (ต้องรับ e⁻ 2 ตัว เป็น Q²⁻) และ S อยู่หมู่ IIA (สูญเสีย e⁻ 2 ตัว เป็น S²⁺) ทั้งคู่มีความต่างอิเล็กโทรเนกาติวิตีสูง จึงเกิดพันธะไอออนิกในสูตร QS (ประจุ 2+ กับ 2-)
ปี 2560,12,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ไอออน X2+ และ Y- มีจำนวนอิเล็กตรอนเท่ากับธาตุ Ar คาบและหมู่ของธาตุ X และ Y ข้อใดถูกต้อง,"X: หมู่2 คาบ2, Y: หมู่3 คาบ7","X: หมู่2 คาบ4, Y: หมู่7 คาบ3","X: หมู่3 คาบ7, Y: หมู่3 คาบ2","X: หมู่4 คาบ3, Y: หมู่2 คาบ2",ข,"X2+ มี 18e- → X มี 20e- = Ca(หมู่2,คาบ4); Y- มี 18e- → Y มี 17e- = Cl(หมู่7,คาบ3)"
ปี 2560,13,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นสารประกอบออกไซด์ที่ท าปฏิกิริยากับน ้าแล้วได้สารละลายที่เปลี่ยนสีกระดาษ ลิตมัสจากน ้าเงินเป็นแดง,P4O10 และ Cr2O3,Cl2O7 และ P4O10,Cr2O3 และ Na2O,Cl2O7 และ Na2O,ข,โมเลกุลที่มีโมเมนต์ขั้วเป็นศูนย์ต้องมีรูปร่างสมมาตรที่เวกเตอร์ไดโพลหักล้างกันสมบูรณ์ โมเลกุล I (เช่น BF₃) และ III (เช่น CCl₄) มีรูปร่างสมมาตรทำให้ไดโพลหักล้างกัน ส่วน II และ IV มีรูปร่างไม่สมมาตรทำให้มีโมเมนต์ขั้วไม่เป็นศูนย์
ปี 2560,14,ปรนัย (MC),พันธะเคมี,"เมื่อผสมสารละลายที่ประกอบด้วยไอออน Ba2+, Mg2+, Na+, Cl–, SO4 2– และ HPO4 2– เข้าด้วยกัน พบว่ามีตะกอน เกิดขึ้น สูตรเคมีของสารประกอบแต่ละชนิดที่เป็นตะกอนซึ่งเกิดจากการผสมสารละลายของไอออนดังกล่าว ข้อใดถูกต้อง","Na2SO4, MgCl2, BaCl2","Na2HPO4, Na2SO4, MgCl2","BaSO4, MgSO4, MgHPO4","MgHPO4, BaSO4, BaHPO4",ง,รูปร่างของโมเลกุลขึ้นกับจำนวนกลุ่มอิเล็กตรอนรอบอะตอมกลาง โมเลกุล II และ III มีจำนวนกลุ่มอิเล็กตรอนและคู่โดดเดี่ยวเท่ากัน ทำให้มีรูปร่างเหมือนกัน เช่น ทั้งคู่เป็นรูปร่างมุมงอ (bent) หรือพีระมิดสามเหลี่ยม
ปี 2560,15,ปรนัย (MC),พันธะเคมี,"พิจารณาข้อมูลการทดลองเกี่ยวกับธาตุ X, Y และ Z ที่กำหนดให้ ข้อสรุปใดถูกต้อง",ค่า IE₁ ของ X > Y > Z,ค่า EN ของ Z > X > Y,ขนาดอะตอม X > Y > Z,ข้อ ก และ ข ถูกต้อง,ค,"ต้องดูตารางข้อมูลธาตุ X, Y, Z จากรูปในข้อสอบ เพื่อเปรียบเทียบ IE₁, EN และขนาดอะตอม"
ปี 2560,16,ปรนัย (MC),พันธะเคมี,"พิจารณาสมการของปฏิกิริยานิวเคลียร์ต่อไปนี้ Co 5927 + A  Mn 56 25 + รังสีแอลฟา Te 130 52 + B  I 130 53 + 2 นิวตรอน Rn 222 86 + รังสีแอลฟา  C + รังสีแกมมา ข้อใดเป็น A, B และ C ตามล าดับ",นิวตรอน ดิวทีรอน และ Ra 226 88,นิวตรอน โปรตอน และ Ac 226 89,โปรตอน ดิวทีรอน และ Rn 225 86,รังสีบีตา รังสีแอลฟา และ Fr 224 87,ข,จุดเดือดขึ้นกับแรงยึดเหนี่ยวระหว่างโมเลกุล สารที่มีพันธะไฮโดรเจนมีจุดเดือดสูงที่สุด รองลงมาคือแรงดึงดูดระหว่างขั้ว และแรงแวนเดอร์วาลส์ต่ำที่สุด การเรียง I < II < IV < III สะท้อนลำดับแรงยึดเหนี่ยวที่เพิ่มขึ้น โดย III มีพันธะไฮโดรเจนแข็งแกร่งที่สุด
ปี 2560,17,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นสมบัติของธาตุไฮโดรเจนที่ต่างจากธาตุหมู่ VIIA,มีเลขออกซิเดชันได้มากกว่า 1 ค่า,มีค่าอิเล็กโทรเนกาติวิตีมากกว่า 2,มีจ านวนเวเลนซ์อิเล็กตรอนเท่ากับ 1,ในธรรมชาติอยู่ในรูปโมเลกุลอะตอมคู่,ก,จากกราฟพลังงานศักย์กับระยะห่าง ที่ระยะ d ซึ่งมากกว่าระยะพันธะ (r₀) อะตอมยังอยู่ในช่วงแรงดึงดูดมีผลเหนือกว่า ดังนั้นที่ระยะ d อะตอมทั้งสองจึงดึงดูดกัน ข้อ ง ถูกต้อง ส่วนความยาวพันธะคือระยะที่พลังงานต่ำสุด และพลังงานพันธะคือความลึกของหลุมพลังงาน
ปี 2560,18,ปรนัย (MC),พันธะเคมี,การเปรียบเทียบจุดเดือดของสาร ข้อใดถูกต้อง,HCl < HBr < HI < HF,HF < HCl < HBr < HI,HI < HBr < HCl < HF,HBr < HI < HCl < HF,ก,HF มีพันธะไฮโดรเจนแข็งแรงมาก จึงมีจุดเดือดสูงสุด ส่วน HCl<HBr<HI เรียงตามมวลโมเลกุล
ปี 2560,19,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,สมการไอออนิกสุทธิของปฏิกิริยาระหว่าง Pb(NO3)2 กับ K2SO4 ในสารละลาย ข้อใดถูกต้อง,K+(aq) + NO3-(aq) → KNO3(s),Pb2+(aq) + SO42-(aq) → PbSO4(s),Pb2+(aq) + 3NO3-(aq) + K+(aq) → Pb(NO3)2(s),Pb2+(aq) + NO3-(aq) + K+(aq) + SO42-(aq) → PbSO4(s) + NO3-(aq),ข,PbSO4 ไม่ละลายน้ำ สมการไอออนิกสุทธิ: Pb2+ + SO42- → PbSO4(s)
ปี 2560,20,ปรนัย (MC),พันธะเคมี,"พิจารณาสมบัติของสาร A, B, C, D และ E ในตารางต่อไปนี้ ข้อใดเป็นสารประกอบไอออนิก สารโคเวเลนต์ และโลหะ ตามลำดับ","A, B และ C","B, E และ A","C, D และ A","D, E และ C",ง,"จากตาราง: A (Tm=1455°C, Tb=2837°C, นำไฟฟ้าได้ทั้งของแข็งและของเหลว) = โลหะ | B (Tm=-56°C ไม่นำไฟฟ้า) = สารโคเวเลนต์ | C (Tm=685°C นำไฟฟ้าเมื่อหลอมเหลว) = ไอออนิก | D, E = สารโคเวเลนต์ → ไอออนิก=C, โคเวเลนต์=D, โลหะ=A → ข้อ ค (C, D, A)... แต่เฉลยคือ ง"
ปี 2560,21,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นไอออนที่มีความยาวพันธะระหว่างไนโตรเจน (N) กับออกซิเจน (O) สั้นที่สุด,NO⁺,NO₂⁻,NO₂⁺,NO₃⁻,ก,NO⁺: พันธะสาม (triple bond N≡O⁺) สั้นที่สุด | NO₂⁻: พันธะ 1.5 | NO₂⁺: พันธะ 2 | NO₃⁻: พันธะ 1.33 → NO⁺ มีพันธะสามสั้นที่สุด → ข้อ ก
ปี 2560,22,ปรนัย (MC),พันธะเคมี,ข้อใดเป็นสารที่มีรูปร่างโมเลกุลเหมือนกัน,BF4  และ ICl4 ,TeCl4 และ POCl3,ICl4  และ TeCl4,BF4  และ POCl3,ง,พลังงานกระตุ้น (Ea) คือความสูงของกำแพงพลังงาน (ผลต่างระหว่างพลังงาน transition state กับสารตั้งต้น) ปฏิกิริยา IV มีกำแพงพลังงานต่ำที่สุดในกราฟ จึงมีพลังงานกระตุ้นต่ำที่สุด
